,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_physics,1.029,0.108,0.82,1.217,0.003,0.003,1843.0,1184.0,1.0
beta_corrections[0],1.05,0.065,0.928,1.17,0.002,0.001,1836.0,1334.0,1.0
beta_corrections[1],2.784,0.134,2.515,3.023,0.003,0.003,1649.0,1347.0,1.0
alpha,0.863,0.053,0.77,0.97,0.001,0.001,1808.0,1332.0,1.0
sigma_by_type[0],0.41,0.053,0.316,0.51,0.001,0.001,2786.0,1543.0,1.0
sigma_by_type[1],0.791,0.106,0.597,0.984,0.002,0.003,2519.0,1219.0,1.0
sigma_by_type[2],0.674,0.1,0.504,0.864,0.002,0.003,2028.0,1430.0,1.0
sigma_by_type[3],0.289,0.043,0.215,0.369,0.001,0.001,2364.0,1371.0,1.0
sigma_by_type[4],1.658,0.226,1.26,2.103,0.005,0.006,2519.0,1265.0,1.0
sigma_by_type[5],1.968,0.268,1.484,2.461,0.006,0.007,2087.0,1435.0,1.0
